date,topic,change_rate,p-value,+-7_p_value,+-15_p_value
2016-06-22,R&D에 '1조' 투자… 프로젝트 '블루' 내세운 네이버의 도전,4.52,0.0,0.0,0.0
2016-06-27,"네이버랩스, 인공지능 국제대회 `VQA 챌린지` 2위",-4.08,0.0,0.0,0.0
2016-08-08,"네이버, 인공지능 자동통역 서비스 '파파고' 베타 출시",3.47,0.0,0.001,0.0
2016-10-25,"네이버, 음성비서·자율주행·로봇 등 미래 신기술 대거 공개",0.48,0.137,0.187,0.104
2016-11-30,"네이버, AI 기반 옴니태스킹 지원 브라우저 '웨일(WHALE)' 베타 버전 출시",-0.38,0.954,0.49,0.208
2016-12-14,"네이버, 내년 1월 분사하는 네이버랩스에 1200억 출자",-0.13,0.943,0.618,0.861
2017-01-02,"네이버, `네이버랩스` 통해 기술기업으로 우뚝",0.26,0.36,0.853,0.381
2017-03-02,네이버 AI플랫폼 `클로바` 공개,4.79,0.0,0.0,0.0
2017-04-06,"네이버 ""이미지·자연어·자동추천 통해 AI 검색 급성장""",-0.36,0.998,0.663,0.946
2017-04-17,"네이버 “2년 내 글로벌 톱5 클라우드”, 네이버 중심 AI 생태계 도전",-0.25,0.839,0.979,0.869
2017-05-12,[단독] AI 비서 `클로바` 네이버 12일 공개,-2.12,0.0,0.023,0.0
